Scale1015ID	Scale1015labels	cortical	hemisphere	Scale1015to83
1	lateralobitofrontal_9	1	r	1
2	lateralorbitofrontal_11	1	r	1
3	lateralorbitofrontal_5	1	r	1
4	lateralorbitofrontal_6	1	r	1
5	lateralorbitofrontal_7	1	r	1
6	lateralorbitofrontal_10	1	r	1
7	lateralorbitofrontal_4	1	r	1
8	lateralorbitofrontal_17	1	r	1
9	lateralorbitofrontal_8	1	r	1
10	lateralorbitofrontal_15	1	r	1
11	lateralorbitofrontal_13	1	r	1
12	lateralorbitofrontal_12	1	r	1
13	lateralorbitofrontal_1	1	r	1
14	lateralorbitofrontal_3	1	r	1
15	lateralorbitofrontal_16	1	r	1
16	lateralorbitofrontal_14	1	r	1
17	lateralorbitofrontal_2	1	r	1
18	parsorbitalis_4	1	r	2
19	parsorbitalis_1	1	r	2
20	parsorbitalis_2	1	r	2
21	parsorbitalis_3	1	r	2
22	frontalpole_2	1	r	3
23	frontalpole_1	1	r	3
24	medialorbitofrontal_1	1	r	4
25	medialorbitofrontal_9	1	r	4
26	medialorbitofrontal_7	1	r	4
27	medialorbitofrontal_3	1	r	4
28	medialorbitofrontal_10	1	r	4
29	medialorbitofrontal_8	1	r	4
30	medialorbitofrontal_5	1	r	4
31	medialorbitofrontal_4	1	r	4
32	medialorbitofrontal_2	1	r	4
33	medialorbitofrontal_6	1	r	4
34	medialorbitofrontal_11	1	r	4
35	parstriangularis_8	1	r	5
36	parstriangularis_5	1	r	5
37	parstriangularis_3	1	r	5
38	parstriangularis_4	1	r	5
39	parstriangularis_1	1	r	5
40	parstriangularis_2	1	r	5
41	parstriangularis_7	1	r	5
42	parstriangularis_6	1	r	5
43	parsopercularis_8	1	r	6
44	parsopercularis_4	1	r	6
45	parsopercularis_5	1	r	6
46	parsopercularis_9	1	r	6
47	parsopercularis_3	1	r	6
48	parsopercularis_1	1	r	6
49	parsopercularis_7	1	r	6
50	parsopercularis_6	1	r	6
51	parsopercularis_2	1	r	6
52	rostralmiddlefrontal_19	1	r	7
53	rostralmiddlefrontal_21	1	r	7
54	rostralmiddlefrontal_16	1	r	7
55	rostralmiddlefrontal_22	1	r	7
56	rostralmiddlefrontal_24	1	r	7
57	rostralmiddlefrontal_10	1	r	7
58	rostralmiddlefrontal_20	1	r	7
59	rostralmiddlefrontal_15	1	r	7
60	rostralmiddlefrontal_18	1	r	7
61	rostralmiddlefrontal_7	1	r	7
62	rostralmiddlefrontal_25	1	r	7
63	rostralmiddlefrontal_23	1	r	7
64	rostralmiddlefrontal_4	1	r	7
65	rostralmiddlefrontal_27	1	r	7
66	rostralmiddlefrontal_14	1	r	7
67	rostralmiddlefrontal_17	1	r	7
68	rostralmiddlefrontal_9	1	r	7
69	rostralmiddlefrontal_12	1	r	7
70	rostralmiddlefrontal_2	1	r	7
71	rostralmiddlefrontal_13	1	r	7
72	rostralmiddlefrontal_11	1	r	7
73	rostralmiddlefrontal_3	1	r	7
74	rostralmiddlefrontal_5	1	r	7
75	rostralmiddlefrontal_8	1	r	7
76	rostralmiddlefrontal_26	1	r	7
77	rostralmiddlefrontal_1	1	r	7
78	rostralmiddlefrontal_6	1	r	7
79	superiorfrontal_40	1	r	8
80	superiorfrontal_4	1	r	8
81	superiorfrontal_3	1	r	8
82	superiorfrontal_14	1	r	8
83	superiorfrontal_7	1	r	8
84	superiorfrontal_23	1	r	8
85	superiorfrontal_10	1	r	8
86	superiorfrontal_39	1	r	8
87	superiorfrontal_19	1	r	8
88	superiorfrontal_29	1	r	8
89	superiorfrontal_1	1	r	8
90	superiorfrontal_27	1	r	8
91	superiorfrontal_30	1	r	8
92	superiorfrontal_15	1	r	8
93	superiorfrontal_2	1	r	8
94	superiorfrontal_11	1	r	8
95	superiorfrontal_37	1	r	8
96	superiorfrontal_8	1	r	8
97	superiorfrontal_36	1	r	8
98	superiorfrontal_25	1	r	8
99	superiorfrontal_24	1	r	8
100	superiorfrontal_38	1	r	8
101	superiorfrontal_20	1	r	8
102	superiorfrontal_5	1	r	8
103	superiorfrontal_22	1	r	8
104	superiorfrontal_21	1	r	8
105	superiorfrontal_12	1	r	8
106	superiorfrontal_18	1	r	8
107	superiorfrontal_42	1	r	8
108	superiorfrontal_13	1	r	8
109	superiorfrontal_32	1	r	8
110	superiorfrontal_33	1	r	8
111	superiorfrontal_28	1	r	8
112	superiorfrontal_41	1	r	8
113	superiorfrontal_16	1	r	8
114	superiorfrontal_6	1	r	8
115	superiorfrontal_9	1	r	8
116	superiorfrontal_17	1	r	8
117	superiorfrontal_31	1	r	8
118	superiorfrontal_35	1	r	8
119	superiorfrontal_34	1	r	8
120	superiorfrontal_26	1	r	8
121	caudalmiddlefrontal_8	1	r	9
122	caudalmiddlefrontal_4	1	r	9
123	caudalmiddlefrontal_2	1	r	9
124	caudalmiddlefrontal_3	1	r	9
125	caudalmiddlefrontal_7	1	r	9
126	caudalmiddlefrontal_5	1	r	9
127	caudalmiddlefrontal_11	1	r	9
128	caudalmiddlefrontal_10	1	r	9
129	caudalmiddlefrontal_1	1	r	9
130	caudalmiddlefrontal_9	1	r	9
131	caudalmiddlefrontal_6	1	r	9
132	precentral_12	1	r	10
133	precentral_35	1	r	10
134	precentral_28	1	r	10
135	precentral_36	1	r	10
136	precentral_31	1	r	10
137	precentral_5	1	r	10
138	precentral_21	1	r	10
139	precentral_1	1	r	10
140	precentral_8	1	r	10
141	precentral_20	1	r	10
142	precentral_34	1	r	10
143	precentral_2	1	r	10
144	precentral_23	1	r	10
145	precentral_19	1	r	10
146	precentral_22	1	r	10
147	precentral_26	1	r	10
148	precentral_6	1	r	10
149	precentral_10	1	r	10
150	precentral_3	1	r	10
151	precentral_9	1	r	10
152	precentral_4	1	r	10
153	precentral_32	1	r	10
154	precentral_16	1	r	10
155	precentral_15	1	r	10
156	precentral_30	1	r	10
157	precentral_18	1	r	10
158	precentral_27	1	r	10
159	precentral_7	1	r	10
160	precentral_11	1	r	10
161	precentral_14	1	r	10
162	precentral_33	1	r	10
163	precentral_24	1	r	10
164	precentral_13	1	r	10
165	precentral_29	1	r	10
166	precentral_25	1	r	10
167	precentral_17	1	r	10
168	paracentral_1	1	r	11
169	paracentral_9	1	r	11
170	paracentral_4	1	r	11
171	paracentral_2	1	r	11
