Scale 83 ID	Scale 83 labels	cortical
1	lateralorbitofrontal	1
2	parsorbitalis	1
3	frontalpole	1
4	medialorbitofrontal	1
5	parstriangularis	1
6	parsopercularis	1
7	rostralmiddlefrontal	1
8	superiorfrontal	1
9	caudalmiddlefrontal	1
10	precentral	1
11	paracentral	1
12	rostralanteriorcingulate	1
13	caudalanteriorcingulate	1
14	posteriorcingulate	1
15	isthmuscingulate	1
16	postcentral	1
17	supramarginal	1
18	superiorparietal	1
19	inferiorparietal	1
20	precuneus	1
21	cuneus	1
22	pericalcarine	1
23	lateraloccipital	1
24	lingual	1
25	fusiform	1
26	parahippocampal	1
27	entorhinal	1
28	temporalpole	1
29	inferiortemporal	1
30	middletemporal	1
31	bankssts	1
32	superiortemporal	1
33	transversetemporal	1
34	insula	1
35	thalamusproper	0
36	caudate	0
37	putamen	0
38	pallidum	0
39	accumbensarea	0
40	hyppocampus	0
41	amygdala	0
42	lateralorbitofrontal	1
43	parsorbitalis	1
44	frontalpole	1
45	medialorbitofrontal	1
46	parstriangularis	1
47	parsopercularis	1
48	rostralmiddlefrontal	1
49	superiorfrontal	1
50	caudalmiddlefrontal	1
51	precentral	1
52	paracentral	1
53	rostralanteriorcingulate	1
54	caudalanteriorcingulate	1
55	posteriorcingulate	1
56	isthmuscingulate	1
57	postcentral	1
58	supramarginal	1
59	superiorparietal	1
60	inferiorparietal	1
61	precuneus	1
62	cuneus	1
63	pericalcarine	1
64	lateraloccipital	1
65	lingual	1
66	fusiform	1
67	parahippocampal	1
68	entorhinal	1
69	temporalpole	1
70	inferiortemporal	1
71	middletemporal	1
72	bankssts	1
73	superiortemporal	1
74	transversetemporal	1
75	insula	1
76	thalamusproper	0
77	caudate	0
78	putamen	0
79	pallidum	0
80	accumbensarea	0
81	hyppocampus	0
82	amygdala	0
83	brainstem	2
